2017-02-22T10:00:08.457120	+019.4C
2017-02-22T10:00:18.438098	+019.4C
2017-02-22T10:00:28.419100	+019.4C
2017-02-22T10:00:38.400093	+019.4C
2017-02-22T10:00:48.381103	+019.3C
2017-02-22T10:00:58.362099	+019.3C
2017-02-22T10:01:08.342102	+019.3C
2017-02-22T10:01:18.323091	+019.2C
2017-02-22T10:01:28.304110	+019.3C
2017-02-22T10:01:38.286109	+019.2C
2017-02-22T10:01:48.267098	+019.2C
2017-02-22T10:01:58.248338	+019.2C
2017-02-22T10:02:08.231106	+019.2C
2017-02-22T10:02:18.213097	+019.2C
2017-02-22T10:02:28.195100	+019.1C
2017-02-22T10:02:38.177096	+019.1C
2017-02-22T10:02:48.159111	+019.0C
2017-02-22T10:02:58.141105	+019.1C
2017-02-22T10:03:08.124114	+019.1C
2017-02-22T10:03:18.106101	+019.1C
2017-02-22T10:03:28.089098	+019.0C
2017-02-22T10:03:38.072106	+019.0C
2017-02-22T10:03:48.055099	+018.9C
2017-02-22T10:03:58.038102	+018.9C
2017-02-22T10:04:08.021104	+018.9C
2017-02-22T10:04:18.003154	+018.9C
2017-02-22T10:04:27.987102	+018.9C
2017-02-22T10:04:37.970105	+018.9C
2017-02-22T10:04:47.953107	+018.9C
2017-02-22T10:04:57.936096	+019.0C
2017-02-22T10:05:07.918102	+019.0C
2017-02-22T10:05:17.901102	+019.1C
2017-02-22T10:05:27.884099	+019.1C
2017-02-22T10:05:37.867096	+019.1C
2017-02-22T10:05:47.850103	+019.1C
2017-02-22T10:05:57.833367	+019.2C
2017-02-22T10:06:07.816109	+019.1C
2017-02-22T10:06:17.799154	+019.1C
2017-02-22T10:06:27.783108	+019.1C
2017-02-22T10:06:37.766141	+019.2C
2017-02-22T10:06:47.750097	+019.2C
2017-02-22T10:06:57.734097	+019.3C
2017-02-22T10:07:07.717099	+019.4C
2017-02-22T10:07:17.701099	+019.4C
2017-02-22T10:07:27.684098	+019.4C
2017-02-22T10:07:37.668099	+019.4C
2017-02-22T10:07:47.651105	+019.4C
2017-02-22T10:07:57.635103	+019.5C
2017-02-22T10:08:07.618101	+019.6C
2017-02-22T10:08:17.602100	+019.6C
2017-02-22T10:08:27.585099	+019.6C
2017-02-22T10:08:37.569105	+019.7C
2017-02-22T10:08:47.552100	+019.7C
2017-02-22T10:08:57.536100	+019.7C
2017-02-22T10:09:07.520106	+019.8C
2017-02-22T10:09:17.503103	+019.8C
2017-02-22T10:09:27.487100	+019.8C
2017-02-22T10:09:37.470100	+019.8C
2017-02-22T10:09:47.454108	+019.7C
2017-02-22T10:09:57.437130	+019.7C
2017-02-22T10:10:07.421098	+019.7C
2017-02-22T10:10:17.405101	+019.6C
2017-02-22T10:10:27.389098	+019.7C
2017-02-22T10:10:37.373095	+019.6C
2017-02-22T10:10:47.357108	+019.6C
2017-02-22T10:10:57.341107	+019.6C
2017-02-22T10:11:07.325106	+019.5C
2017-02-22T10:11:17.309109	+019.4C
2017-02-22T10:11:27.293104	+019.4C
2017-02-22T10:11:37.277098	+019.4C
2017-02-22T10:11:47.260104	+019.4C
2017-02-22T10:11:57.244104	+019.4C
2017-02-22T10:12:07.228114	+019.4C
2017-02-22T10:12:17.213100	+019.3C
2017-02-22T10:12:27.197101	+019.3C
2017-02-22T10:12:37.181100	+019.3C
2017-02-22T10:12:47.165102	+019.3C
2017-02-22T10:12:57.149112	+019.3C
2017-02-22T10:13:07.134101	+019.3C
2017-02-22T10:13:17.118098	+019.3C
2017-02-22T10:13:27.102098	+019.3C
2017-02-22T10:13:37.087104	+019.4C
2017-02-22T10:13:47.071101	+019.4C
2017-02-22T10:13:57.055104	+019.4C
2017-02-22T10:14:07.039159	+019.4C
2017-02-22T10:14:17.024112	+019.4C
2017-02-22T10:14:27.008112	+019.5C
2017-02-22T10:14:36.993102	+019.6C
2017-02-22T10:14:46.977134	+019.6C
2017-02-22T10:14:56.962098	+019.6C
2017-02-22T10:15:06.947109	+019.6C
2017-02-22T10:15:16.931099	+019.6C
2017-02-22T10:15:26.915100	+019.6C
2017-02-22T10:15:36.899099	+019.6C
2017-02-22T10:15:46.884118	+019.7C
2017-02-22T10:15:56.868103	+019.7C
2017-02-22T10:16:06.853109	+019.8C
2017-02-22T10:16:16.837149	+019.8C
2017-02-22T10:16:26.822101	+019.9C
2017-02-22T10:16:36.807104	+019.9C
2017-02-22T10:16:46.792098	+019.9C
2017-02-22T10:16:56.777100	+019.9C
2017-02-22T10:17:06.761121	+019.9C
2017-02-22T10:17:16.745542	+019.9C
2017-02-22T10:17:26.730108	+019.8C
2017-02-22T10:17:36.715099	+019.8C
2017-02-22T10:17:46.700099	+019.8C
2017-02-22T10:17:56.684103	+019.7C
2017-02-22T10:18:06.669106	+019.7C
2017-02-22T10:18:16.654100	+019.7C
2017-02-22T10:18:26.638104	+019.7C
2017-02-22T10:18:36.622114	+019.7C
2017-02-22T10:18:46.606098	+019.7C
2017-02-22T10:18:56.590101	+019.7C
2017-02-22T10:19:06.574115	+019.7C
2017-02-22T10:19:16.558123	+019.7C
2017-02-22T10:19:26.543099	+019.7C
2017-02-22T10:19:36.527111	+019.6C
2017-02-22T10:19:46.511098	+019.6C
2017-02-22T10:19:56.495105	+019.6C
2017-02-22T10:20:06.479097	+019.6C
2017-02-22T10:20:16.463098	+019.6C
2017-02-22T10:20:26.447100	+019.6C
2017-02-22T10:20:36.431101	+019.6C
2017-02-22T10:20:46.415100	+019.6C
2017-02-22T10:20:56.400104	+019.6C
2017-02-22T10:21:06.384117	+019.6C
2017-02-22T10:21:16.369097	+019.6C
2017-02-22T10:21:26.354101	+019.7C
2017-02-22T10:21:36.338104	+019.7C
2017-02-22T10:21:46.322128	+019.6C
2017-02-22T10:21:56.307103	+019.6C
2017-02-22T10:22:06.291108	+019.7C
2017-02-22T10:22:16.276101	+019.7C
2017-02-22T10:22:26.261099	+019.7C
2017-02-22T10:22:36.246102	+019.7C
2017-02-22T10:22:46.231117	+019.6C
2017-02-22T10:22:56.215108	+019.6C
2017-02-22T10:23:06.200102	+019.6C
